Nombre,Latitud,Longitud,Direccion,Modalidades,department,municipality,dep_id,mun_id
SAN JOSÉ,12.59718900,-85.66285500,EL BEJUCO.,PRIMARIA MULTIGRADO,Boaco,Boaco,11,100
ARMIDA BRAVO,12.53024000,-85.66192000,BUENA VISTA.,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
PREESCOLAR LOS VALLES,12.58205000,-85.65926000,CASERIO DE LOS VALLES.,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
C.D.I DIVINO NIÑO JESÚS (OSCAR DÍAZ),12.46960000,-85.66240000,SILAIS 1 ½ C. AL ESTE ½ AL SUR.,PREESCOLAR FORMAL,Boaco,Boaco,11,100
CENTRO ESCOLAR JULIA GARCIA LARGAESPADA,12.47261000,-85.65488000,BARRIO TIERRA BLANCA.,"PREESCOLAR FORMAL, Primaria Comunitaria JYA, PRIMARIA ACELERADA(CEDA), PRIMARIA REGULAR, PREESCOLAR COMUNITARIO",Boaco,Boaco,11,100
CENTRO ESCOLAR SAN MIGUEL,12.47596000,-85.66053000,DE LA KODAK  3 C. AL NORTE ½ AL ESTE.,"PREESCOLAR FORMAL MULTINIVEL, III CICLO, IV CICLO, PRIMARIA REGULAR",Boaco,Boaco,11,100
INSTITUTO NACIONAL PUBLICO DE BOACO ROSA CERDA AMADOR,12.47523000,-85.64602000,CARRETERA  AL ATLANTICO FTE. A CERVECERIA VICTORIA.,SECUNDARIA REGULAR,Boaco,Boaco,11,100
CENTRO ESCOLAR ANGELITA ROBLETO BARQUERO.,12.46740800,-85.66105000,DETRÁS DEL HOSPITAL JOSE NIEWROSKI.,"PREESCOLAR FORMAL MULTINIVEL, PRIMARIA REGULAR",Boaco,Boaco,11,100
CENTRO ESCOLAR JUANA SOLBALVARRO,12.46953000,-85.65738000,COSTADO NORTE DEL MERCADO MUNICIPAL.,"Primaria Comunitaria JYA, PREESCOLAR FORMAL, ALFABETIZACION, PRIMARIA REGULAR",Boaco,Boaco,11,100
CENTRO ESCOLAR EMILIO SOBALVARRO SUAREZ.,12.47140000,-85.66042000,CRUZ ROJA UNA CUADRA AL OESTE.,"PRIMARIA REGULAR, PREESCOLAR COMUNITARIO, SECUNDARIA POR ENCUENTRO, PREESCOLAR FORMAL MULTINIVEL",Boaco,Boaco,11,100
SAGRADO CORAZON DE JESUS,12.47310000,-85.66200000,CONTIGUO AL C DE C Y EVENTOS.,"PREESCOLAR FORMAL MULTINIVEL, PRIMARIA REGULAR",Boaco,Boaco,11,100
AMINA AUXILIADORA ABDALLAH ALEMAN.,12.61600000,-85.36419000,COMUNIDAD EL CONGO VILLA LA VEGA.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR CARLOS MEJIA GODOY.,12.44250000,-85.67060000,5 KMS. AL SUR DE BOACO.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR MEDALLA MILAGROSA.,12.45206000,-85.63811000,CERRO LARGO 15 KM. AL SUR.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
SANTA RITA (QUEBRACHITO),12.43200000,-85.66058000,COMARCA EL QUEBRACHITO.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR JOSÉ CECILIO DEL VALLE.,12.41130000,-85.61230000,COMARCA TORREZ.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO",Boaco,Boaco,11,100
CENTRO ESCOLAR ANDRES CASTRO.,12.46960000,-85.58860000,14 KMS. DE BOACO CARRETERA A CAMOAPA.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
CENTRO ESCOLAR JOSÉ DE LA CRUZ MENA.,12.47455000,-85.56549000,DE LA CAPILLA CATOLICA 200 VRS CARRETERA A CAMOAPA.,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO",Boaco,Boaco,11,100
CENTRO ESCOLAR SAN LUIS.,12.46924000,-85.61326000,9 KM. DE BOACO ESTE.,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL",Boaco,Boaco,11,100
