department,municipality,dep_id,mun_id,Nombre,Direccion,Latitud,Longitud,Modalidades
Boaco,Boaco,11,100,SAN JOSÉ,EL BEJUCO.,12.59718900,-85.66285500,PRIMARIA MULTIGRADO
Boaco,Boaco,11,100,ARMIDA BRAVO,BUENA VISTA.,12.53024000,-85.66192000,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,PREESCOLAR LOS VALLES,CASERIO DE LOS VALLES.,12.58205000,-85.65926000,"PREESCOLAR COMUNITARIO MULTINIVEL, PRIMARIA MULTIGRADO"
Boaco,Boaco,11,100,C.D.I DIVINO NIÑO JESÚS (OSCAR DÍAZ),SILAIS 1 ½ C. AL ESTE ½ AL SUR.,12.46960000,-85.66240000,PREESCOLAR FORMAL
Boaco,Boaco,11,100,CENTRO ESCOLAR JULIA GARCIA LARGAESPADA,BARRIO TIERRA BLANCA.,12.47261000,-85.65488000,"PREESCOLAR FORMAL, Primaria Comunitaria JYA, PRIMARIA ACELERADA(CEDA), PRIMARIA REGULAR, PREESCOLAR COMUNITARIO"
Boaco,Boaco,11,100,CENTRO ESCOLAR SAN MIGUEL,DE LA KODAK  3 C. AL NORTE ½ AL ESTE.,12.47596000,-85.66053000,"PREESCOLAR FORMAL MULTINIVEL, III CICLO, IV CICLO, PRIMARIA REGULAR"
Boaco,Boaco,11,100,INSTITUTO NACIONAL PUBLICO DE BOACO ROSA CERDA AMADOR,CARRETERA  AL ATLANTICO FTE. A CERVECERIA VICTORIA.,12.47523000,-85.64602000,SECUNDARIA REGULAR
Boaco,Boaco,11,100,CENTRO ESCOLAR ANGELITA ROBLETO BARQUERO.,DETRÁS DEL HOSPITAL JOSE NIEWROSKI.,12.46740800,-85.66105000,"PREESCOLAR FORMAL MULTINIVEL, PRIMARIA REGULAR"
Boaco,Boaco,11,100,CENTRO ESCOLAR JUANA SOLBALVARRO,COSTADO NORTE DEL MERCADO MUNICIPAL.,12.46953000,-85.65738000,"Primaria Comunitaria JYA, PREESCOLAR FORMAL, ALFABETIZACION, PRIMARIA REGULAR"
Boaco,Boaco,11,100,CENTRO ESCOLAR EMILIO SOBALVARRO SUAREZ.,CRUZ ROJA UNA CUADRA AL OESTE.,12.47140000,-85.66042000,"PRIMARIA REGULAR, PREESCOLAR COMUNITARIO, SECUNDARIA POR ENCUENTRO, PREESCOLAR FORMAL MULTINIVEL"
Boaco,Boaco,11,100,SAGRADO CORAZON DE JESUS,CONTIGUO AL C DE C Y EVENTOS.,12.47310000,-85.66200000,"PREESCOLAR FORMAL MULTINIVEL, PRIMARIA REGULAR"
Boaco,Boaco,11,100,AMINA AUXILIADORA ABDALLAH ALEMAN.,COMUNIDAD EL CONGO VILLA LA VEGA.,12.61600000,-85.36419000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
Boaco,Boaco,11,100,CENTRO ESCOLAR CARLOS MEJIA GODOY.,5 KMS. AL SUR DE BOACO.,12.44250000,-85.67060000,"PRIMARIA MULTIGRADO, PREESCOLAR COMUNITARIO MULTINIVEL"
